No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
206,96,3,118403,0.091866191,13.9,3.3,9.4,5.971223022,12,0
207,96,4,118404,0.132959755,10.3,3.25,9.6,6.213592233,13,0
208,96,5,118405,0.173543895,13.6,3.2,9.6,6.25,14.1,0
209,96,6,118406,0.212090338,9.1,3.2,9.6,6.373626374,15.9,0
210,96,7,118407,0.251146205,13.9,3.35,10,6.474820144,14.9,0
211,96,8,118408,0.29122092,9.7,3.2,10,6.597938144,15,0
212,96,9,118409,0.328918322,12.5,3.4,10.1,6.72,15,0
213,96,10,118410,0.366785532,9.8,3.35,9.8,6.428571429,14.8,0
214,96,11,118411,0.405331975,12.9,3.5,10.2,6.976744186,15.1,0
215,96,12,118412,0.571574121,85,3.4,10.4,0.705882353,14.2,0
216,96,13,118413,0.738325692,13.2,3.35,9.9,6.439393939,13.8,0
217,96,14,118414,0.778909832,10.7,3.35,9.8,6.355140187,14.8,0
218,96,15,118415,0.823399558,15.5,3.05,9.3,5.612903226,13.8,0
219,96,16,118416,0.872643912,13.5,2.75,8.8,4.962962963,13.8,0
220,96,17,118417,0.921209034,15.1,2.95,8.7,5.231788079,13,0
221,96,18,118418,0.963151639,9.6,2.95,8.5,4.479166667,13.3,0
222,96,19,118419,1,12.1,2.75,8.3,4.380165289,12,0
223,97,1,118501,0.063228541,17.9,2.6,8.5,5.810055866,18.2,1
224,97,2,118502,0.169198163,12.1,2.55,8.1,5.537190083,17.8,1
225,97,3,118503,0.266336983,15.4,2.8,8.3,5.649350649,17.9,1
226,97,4,118504,0.354998234,9.7,2.75,8.7,6.082474227,19,1
227,97,5,118505,0.43447545,12.8,2.65,9,6.71875,18.2,1
228,97,6,118506,0.513952667,9.7,2.75,9,6.494845361,17,1
229,97,7,118507,0.590250795,11.9,2.7,9,6.470588235,16.2,1
230,97,8,118508,0.661603674,8.3,2.95,9,6.385542169,15.9,0
231,97,9,118509,0.726245143,10,2.8,9.7,7.3,14.7,0
232,97,10,118510,0.788060756,7.5,2.85,9.4,7.066666667,14,0
233,97,11,118511,0.858000706,12.3,2.95,9.1,6.991869919,13.2,0
234,97,12,118512,0.932532674,8.8,2.95,9,5.909090909,12.2,0
235,97,13,118513,1,10.3,2.8,8.5,6.40776699,10,0
236,98,1,118601,0.030897081,14.5,2.85,9,6.620689655,15,0
237,98,2,118602,0.07841466,7.8,3.05,9.8,7.051282051,14.4,0
238,98,3,118603,0.121670573,12.5,2.9,10,7.6,16.4,1
239,98,4,118604,0.170253569,10.3,2.95,9.5,7.184466019,15.1,0
240,98,5,118605,0.220967398,13.5,3,9.7,7.111111111,17,1
241,98,6,118606,0.267845728,8.5,2.85,9.7,7.294117647,15.8,0
242,98,7,118607,0.310888557,11.7,2.8,9.5,7.008547009,16.8,1
243,98,8,118608,0.355849137,9.4,2.65,9.3,6.70212766,15.3,0
244,98,9,118609,0.402514383,12.5,2.85,9.2,6.64,17.3,1
245,98,10,118610,0.449179629,9.4,2.75,9,6.382978723,17.3,1
